학번,전공1,전공2,전공3,전공4
2010-13416,생명과학전공,시각문화학,,
2010-13417,경제학전공,정치학전공,,
2010-13418,화학전공,,,
2010-13419,정치학전공,컴퓨터공학전공,,
2010-13420,경제학전공,외교학전공,,
2010-13421,중어중문학전공,경영학전공,,
2010-13422,경영학전공,정보문화통상학,,
2010-13424,경제학전공,,,
2010-13425,경제학전공,,,
2010-13426,화학생물공학전공,,,
2010-13427,경영학전공,사회정보학,,
2010-13428,심리학전공,통계학전공,,
2010-13429,경제학전공,,,
2010-13430,경영학전공,,,
2010-13431,경제학전공,,,
2010-13432,영어영문학전공,경제학전공,,
2010-13433,에너지자원공학전공,,,
2010-13434,경제학전공,컴퓨터공학전공,,
2010-13435,국제식량농업개발학,,,
2010-13436,생명과학전공,,,
2010-13437,화학전공,,,
2010-13438,경제학전공,수리과학전공,,
2010-13439,철학전공,생명과학전공,,
2010-13440,수리과학전공,물리학전공,,
2010-13442,경제학전공,,,
2010-13443,경제학전공,외교학전공,,
2010-13444,경영학전공,시각디자인전공,,
2010-13445,미술사학전공,수리과학전공,,
2010-13446,연합전공 정보문화학,컴퓨터공학전공,,
2010-13447,서어서문학전공,경제학전공,,
2010-13448,생명과학전공,,,
2010-13449,기계항공공학전공,공업디자인전공,,
2010-13450,경제학전공,통계학전공,,
2010-13451,경제학전공,,,
2010-13452,경제학전공,,,
2010-13453,지구환경과학전공,,,
2010-13455,언론정보학전공,경영학전공,,
2010-13456,경제학전공,연합전공 계산과학,,
2010-13457,경영학전공,,,
2010-13458,생명과학전공,,,
2010-13459,경영학전공,,,
2010-13460,생명과학전공,노화학,,
2010-13461,경제학전공,통계학전공,,
2010-13462,외교학전공,,,
2010-13463,서양사학전공,외교학전공,,
2010-13464,수리과학전공,생명과학전공,,
2010-13465,심리학전공,생명과학전공,,
2010-13467,운동과학,,,
2010-13468,언어학전공,경영학전공,,
2010-13469,생명과학전공,,,
2010-13470,경제학전공,통계학전공,,
2010-13471,경제학전공,외교학전공,,
2010-13538,경영학전공,컴퓨터공학전공,,
2011-13229,전기·정보공학전공,소비분석학,,
2011-13230,정치학전공,,,
2011-13231,경제학전공,,,
2011-13232,사회학전공,정치학전공,,
2011-13233,수리과학전공,컴퓨터공학전공,,
2011-13234,경제학전공,,,
2011-13235,언론정보학전공,경영학전공,,
2011-13236,서아시아언어문명전공,종교학전공,,
2011-13237,경제학전공,,,
2011-13238,인류학전공,경영학전공,,
2011-13239,영어영문학전공,경제학전공,,
2011-13240,불어불문학전공,경영학전공,,
2011-13243,경제학전공,경영학전공,,
2011-13244,경영학전공,문화서사학,,
2011-13245,경제학전공,통계학전공,,
2011-13246,정치학전공,,,
2011-13247,미학전공,외교학전공,,
2011-13248,경영학전공,문화서사학,,
2011-13249,심리학전공,경영학전공,,
2011-13250,경제학전공,통계학전공,,
2011-13251,지리학전공,경영학전공,,
2011-13252,서양사학전공,경영학전공,,
2011-13253,기계항공공학전공,메카트로닉스디자인,,
2011-13255,수리과학전공,전기·정보공학전공,,
2011-13256,심리학전공,,,
2011-13257,서어서문학전공,외교학전공,,
2011-13258,외교학전공,,,
2011-13259,경제학전공,통계학전공,,
2011-13260,컴퓨터공학전공,인지종교학,,
2011-13261,외교학전공,경영학전공,,
2011-13262,경제학전공,,,
2011-13263,동양사학전공,경영학전공,,
2011-13264,경영학전공,,,
2011-13265,경제학전공,전기·정보공학전공,,
2011-13267,경영학전공,수리과학전공,,
2011-13268,심리학전공,놀이문화학,,
2011-13269,심리학전공,수리과학전공,,
2011-13270,경제학전공,통계학전공,,
2011-13271,건축학과 건축학전공(5년제),,,
2011-13272,언어학전공,연합전공 계산과학,,
2011-13273,국어국문학전공,경제학전공,,
2011-13274,에너지자원공학전공,연합전공 글로벌환경경영학,,
2011-13275,경제학전공,수리과학전공,,
2011-13276,경제학전공,연합전공 글로벌환경경영학,,
2011-13277,경제학전공,외교학전공,,
2011-13278,사회학전공,경제학전공,,
2011-13279,수리과학전공,,,
2011-13280,컴퓨터공학전공,공공발전학,,
2011-13281,경영학전공,,,
2011-13282,경영학전공,의류학전공,,
2011-13284,서어서문학전공,외교학전공,,
2011-13285,경제학전공,수리과학전공,,
2011-13286,경제학전공,통계학전공,,
2011-13287,전기·정보공학전공,,,
2011-13288,심리학전공,통계학전공,,
2011-13289,경영학전공,공공거버넌스학,,
2011-13290,경제학전공,수리과학전공,,
2011-13291,경영학전공,수리과학전공,,
2011-13292,외교학전공,경영학전공,,
2011-13293,경제학전공,화학전공,,
2011-13294,외교학전공,,,
2011-13296,심리학전공,경제학전공,,
2011-13297,생명과학전공,,,
2011-13298,경제학전공,외교학전공,,
2011-13299,영어영문학전공,외교학전공,,
2011-13300,경영학전공,,,
2011-13302,물리학전공,,,
2011-13303,연합전공 정보문화학,전기·정보공학전공,,
2011-13304,법소통학,,,
2011-13305,사회학전공,경영학전공,,
2011-13306,경제학전공,,,
2011-13308,경제학전공,정치학전공,,
2011-13309,경영학전공,,,
2011-13310,심리학전공,경제학전공,,
2011-13311,기계항공공학전공,키네틱조형,,
2011-13312,연합전공 정보문화학,,,
2011-13313,경영학전공,,,
2011-13314,경영학전공,,,
2011-13315,경영학전공,화학생물공학전공,,
2011-13316,국어국문학전공,경제학전공,,
2011-13317,심리학전공,통계학전공,,
2011-13318,생명과학전공,인지논리학,,
2011-13319,화학전공,생명과학전공,,
2011-13320,경영학전공,기계항공공학전공,,
2011-13321,경제학전공,,,
2011-13322,경영학전공,,,
2011-13324,경제학전공,정치학전공,,
2011-13325,경영학전공,,,
2011-13326,영어영문학전공,경영학전공,,
2011-13327,생명과학전공,과학기술학,,
2011-13328,심리학전공,화학전공,,
2011-13329,경영학전공,컴퓨터공학전공,,
2011-13330,컴퓨터공학전공,,,
2011-13331,건축학과 건축학전공(5년제),,,
2011-13333,심리학전공,경제학전공,,
2011-13334,외교학전공,국제환경학,,
2011-13335,정치학전공,경영학전공,,
2011-13337,경제학전공,재무금융,,
2011-13338,경제학전공,,,
2011-13339,경제학전공,수리과학전공,,
2011-13340,경영학전공,,,
2011-13341,생명과학전공,,,
2011-13342,사회복지학전공,경제학전공,,
2011-13343,수리과학전공,,,
2011-13344,연합전공 정보문화학,시각디자인전공,,
2011-13345,경제학전공,,,
2011-13346,서양사학전공,,,
2011-13347,경제학전공,수리과학전공,,
2011-13348,경제학전공,통계학전공,,
2011-13350,경제학전공,,,
2011-13351,수리과학전공,,,
2011-13352,미학전공,경제학전공,,
2011-13353,언론정보학전공,통계학전공,,
2011-13354,경영학전공,,,
2011-13355,국어국문학전공,언론정보학전공,,
2011-13356,심리학전공,생명과학전공,,
2011-13357,경제학전공,컴퓨터공학전공,,
2011-13358,수리과학전공,,,
2011-13359,외교학전공,작곡전공,,
2011-13361,경제학전공,,,
2011-13363,생명과학전공,,,
2011-13364,컴퓨터공학전공,시각디자인전공,,
2011-13365,경제학전공,물리학전공,,
2011-13366,경제학전공,수리과학전공,,
2011-13367,인류학전공,,,
2011-13368,심리학전공,경제학전공,,
2011-13369,지리학전공,경영학전공,,
2011-13370,정치학전공,한국학,,
2011-13373,미술사학전공,경영학전공,시각디자인전공,
2011-13375,인류학전공,경영학전공,,
2011-13376,외교학전공,생명과학전공,,
2011-13377,경제학전공,경영학전공,,
2011-13378,사회학전공,경영학전공,,
2011-13379,전기·정보공학전공,,,
2011-13380,언론정보학전공,외교학전공,,
2011-13381,일본언어문명전공,외교학전공,,
2011-13382,평화통일학,행정학,,
2011-13385,외교학전공,동아시아학,,
2011-13386,경제학전공,통계학전공,,
2011-13388,수리과학전공,,,
2011-13389,경영학전공,통계학전공,,
2011-13390,경제학전공,물리학전공,,
2011-13391,미학전공,경영학전공,,
2011-13392,경제학전공,,,
2011-13393,경영학전공,,,
2011-13394,경제학전공,,,
2011-13395,경제학전공,,,
2011-13396,경영학전공,,,
2011-13469,연합전공 정보문화학,경영학전공,,
2011-13470,심리학전공,경영학전공,,
2011-13471,경영학전공,생명과학전공,,
2011-13472,경영학전공,,,
2012-12430,컴퓨터공학전공,미디어콘텐츠경영,,
2012-13254,일본언어문명전공,경제학전공,,
2012-13255,경영학전공,,,
2012-13256,경영학전공,인권학,,
2012-13257,심리학전공,경제학전공,,
2012-13258,경제학전공,외교학전공,,
2012-13259,외교학전공,경영학전공,,
2012-13260,경제학전공,문학철학,,
2012-13261,경영학전공,,,
2012-13262,경제학전공,,,
2012-13263,경제학전공,경영학전공,,
2012-13264,정치학전공,경영학전공,,
2012-13265,외교학전공,국제개발협력학,,
2012-13266,언론정보학전공,경제학전공,,
2012-13267,사회학전공,경제학전공,,
2012-13268,경영학전공,,,
2012-13270,경제학전공,,,
2012-13271,심리학전공,,,
2012-13272,연합전공 정보문화학,경영학전공,,
2012-13273,인류학전공,경영학전공,,
2012-13274,경영학전공,,,
2012-13275,심리학전공,,,
2012-13276,경영학전공,,,
2012-13277,외교학전공,,,
